x,y,s
3.58,2.73,0
-6.82,-1.8,6
-5.14,-3.92,5
-1.66,-1.07,1
-4.47,-4.65,5
-6.16,-3.19,5
2.33,1.92,0
-6.78,-3.75,5
-6.91,-3.4,5
-6.8,-2.26,5
-6.03,-0.64,6
1.33,3.62,0
-6.94,-2.15,6
-5.9,-3.55,5
-6.57,-0.05,6
1.6,1.65,0
-3.25,-1.6,1
-6.82,-3.53,5
-1.45,-1.11,1
0.47,0.29,0
-4.88,-0.02,6
1.6,1.68,0
-5.94,-0.54,6
-3.88,-2.72,5
-6.88,-2.63,5
1.69,3.69,0
2.58,2.0,0
-5.69,-4.25,5
-5.17,-4.54,5
-7.09,-3.57,5
2.17,1.92,0
-6.24,-4.43,5
-0.35,-2.9,1
2.23,2.53,0
-6.18,-3.38,5
-6.4,-0.22,6
-6.1,-0.95,6
1.85,2.55,0
0.8,1.06,0
5.9,3.51,3
-6.57,-0.4,6
4.51,3.94,3
-6.5,-0.9,6
1.55,1.74,0
-4.0,-3.83,5
-6.0,-0.28,6
1.65,2.27,0
-6.34,-4.41,5
-6.98,-2.07,6
-4.46,-0.03,6
-6.01,0.11,6
-6.6,-3.68,5
-5.54,-4.64,5
-6.35,-1.09,6
-6.58,-4.24,5
-5.81,-3.57,5
-6.43,-0.06,6
-5.82,-0.74,6
-3.74,-3.76,5
-5.3,-3.5,5
-4.87,-4.11,5
6.6,4.8,3
-5.72,-3.31,5
-6.58,-4.9,5
1.7,1.82,0
-6.18,-0.46,6
1.26,3.17,0
-5.05,-4.76,5
-4.74,-3.44,5
-0.58,-2.78,1
-0.67,-0.27,1
-6.58,-3.58,5
-4.03,-3.67,5
-6.38,-3.74,5
1.38,3.08,0
-6.22,-0.13,6
-7.15,-2.47,5
1.66,2.14,0
-6.58,-0.14,6
-5.27,-2.99,5
5.34,3.2,3
4.87,2.76,0
-0.6,-0.52,1
2.57,1.74,0
2.08,3.02,0
-5.78,-1.53,6
-6.61,-2.09,6
1.66,2.56,0
2.38,2.94,0
-6.62,-4.74,5
-5.82,-0.74,6
4.55,4.43,0
-5.6,-0.03,6
1.62,2.13,0
-6.25,-3.16,5
5.02,4.12,3
-7.17,-3.6,5
7.23,4.5,3
-0.32,-0.45,1
-6.0,-3.1,5
-6.46,-1.44,6
-7.14,-4.18,5
-6.57,-3.82,5
-6.86,-0.96,6
-6.15,-3.08,5
-6.29,-3.82,5
-1.04,-1.61,1
4.86,2.83,3
-6.5,-0.34,6
-0.19,-0.33,1
-6.46,-0.68,6
-6.17,-0.5,6
-4.73,-3.46,5
-3.82,-1.14,0
6.05,-4.62,1
0.7,0.51,0
1.39,1.38,0
0.3,0.06,6
-6.86,-0.36,6
-6.28,-0.23,6
-6.48,-1.25,6
-6.79,-3.06,5
-6.07,-0.55,6
-6.44,-3.26,5
7.19,4.45,3
-7.15,-2.35,6
-6.87,-3.58,5
-6.37,-0.71,6
-5.41,-3.1,5
-1.06,-1.14,1
3.21,2.58,0
-1.07,-0.84,1
-6.64,-0.63,6
-6.33,-0.52,6
1.34,1.92,0
1.43,2.94,0
-3.84,-3.92,5
-0.57,-2.43,1
-2.68,-1.24,1
-5.38,-3.87,5
0.93,3.26,0
1.41,1.67,0
-6.6,-3.89,5
-6.0,-1.86,6
1.48,2.7,0
5.99,3.26,3
-1.34,-0.77,1
2.0,2.91,0
-5.9,-0.35,6
-4.63,-1.13,0
-6.28,-0.41,6
4.78,3.54,0
-6.72,-3.27,5
4.75,3.12,3
1.86,2.43,0
3.32,2.37,0
-1.11,-2.51,1
-7.17,-3.52,5
1.94,2.07,0
-3.92,-3.26,5
1.65,2.43,0
1.47,2.0,0
-6.14,-1.25,6
-6.7,-0.36,6
-1.04,-2.21,1
-5.97,-0.45,6
1.1,1.3,0
1.08,1.28,0
-0.97,-1.32,6
-1.71,-2.61,1
-6.6,-2.19,6
-6.3,-3.28,5
-4.93,-1.69,6
1.25,1.73,0
-5.86,-0.49,6
1.96,2.98,0
-4.79,-3.16,5
2.2,1.94,0
-2.46,-2.54,1
2.34,1.54,0
-5.64,-0.42,6
-4.05,-4.0,5
-4.95,-4.2,5
-1.13,-0.87,1
-6.61,-1.7,6
-6.66,-1.37,6
-5.69,-2.83,5
2.28,1.84,0
4.77,2.47,0
-7.16,-3.18,5
-5.55,-3.34,5
-6.66,-0.24,6
-6.37,-0.61,6
-0.33,-0.72,1
-6.95,-3.84,5
-6.7,-0.47,6
1.7,2.59,0
1.28,1.46,0
1.05,0.92,0
-1.99,-1.83,1
-1.26,-2.18,1
-6.24,-0.44,6
-6.08,-0.02,6
-6.74,-3.08,5
-6.49,-0.29,6
1.5,1.7,0
1.47,0.86,0
-5.3,-4.01,5
1.87,1.71,0
-6.58,-1.6,6
0.73,-1.62,1
-4.74,0.42,6
-6.56,-0.1,6
-0.56,-0.89,0
-5.55,-0.51,6
-6.14,-1.0,6
-6.6,-0.41,6
-6.99,-3.48,5
-6.77,-0.67,6
2.27,1.6,0
0.2,-1.89,0
-1.44,-1.87,1
-7.3,-3.16,5
1.45,2.99,0
1.18,3.37,0
1.21,1.24,1
0.92,3.19,0
4.35,4.02,3
-6.4,-2.82,5
-0.84,-1.35,1
-5.96,-3.46,5
-4.13,-2.9,5
3.05,3.02,0
-6.23,-0.16,6
-7.16,-3.63,5
-7.17,-3.44,5
-6.99,-4.1,5
-5.84,-0.28,6
1.66,1.74,0
-6.7,-3.7,5
-6.59,-0.48,6
1.6,1.67,0
-0.82,-1.42,1
-4.97,-3.12,5
-6.32,-3.23,5
-5.64,-3.01,5
1.95,2.23,0
-1.02,-0.57,1
-1.03,-2.06,1
-6.27,-0.41,6
-5.98,-3.17,5
-5.13,-3.55,5
1.45,1.79,0
-4.84,-4.21,5
0.48,-1.22,1
-2.61,7.81,2
-1.49,-2.06,1
6.1,3.64,3
2.19,1.53,0
-7.0,-3.11,5
-6.31,-3.33,5
-6.68,-3.58,5
-6.27,-0.42,6
1.84,1.9,0
2.15,2.51,0
1.87,3.13,0
1.57,1.8,0
4.72,3.3,0
-5.18,-2.73,5
-5.66,-0.07,6
-5.08,-0.41,1
-6.45,-1.04,6
-7.06,-2.29,5
-5.01,-3.39,5
2.07,1.39,0
-0.3,-2.69,1
-6.58,-1.05,6
-6.24,-0.89,6
-7.16,-2.86,5
0.63,-0.08,1
-0.91,-0.96,1
1.66,1.92,0
-7.17,-2.14,6
2.5,2.16,0
-6.3,-0.26,6
2.92,2.66,0
-5.99,0.2,1
-5.81,-0.07,6
1.63,1.91,0
-6.33,-0.46,6
-4.42,-4.38,5
0.26,0.32,0
-6.39,-3.26,5
5.05,3.48,3
0.98,3.37,0
1.47,3.19,0
-6.15,-3.37,5
-1.91,-0.68,1
-7.01,-2.58,6
-4.59,-3.95,5
-6.48,-0.08,6
-1.0,-1.15,1
2.42,1.61,0
-6.4,-3.58,5
-6.48,-0.22,6
-6.64,-1.23,6
-0.68,0.23,0
-2.08,-2.25,5
-2.22,-2.43,1
-5.95,-2.88,5
-1.38,-1.03,1
-6.75,-3.74,5
-7.11,-3.03,5
2.35,2.34,0
2.04,1.62,0
5.71,3.62,0
-6.31,-3.44,5
-2.13,-2.52,1
-0.86,-2.53,1
2.33,1.68,0
-0.31,0.45,0
2.03,1.8,0
1.45,3.19,0
-5.58,-3.74,5
-6.15,-3.87,5
-6.84,-0.53,6
1.79,1.01,0
