UMAP_1,UMAP_2,state
0.947,-2.644,CD8_c4_Tstr
1.056,-2.744,CD8_c4_Tstr
1.228,-2.19,CD8_c4_Tstr
1.363,-2.755,CD8_c4_Tstr
0.996,-2.664,CD8_c4_Tstr
1.112,-1.705,CD8_c4_Tstr
1.211,-2.738,CD8_c4_Tstr
1.416,-2.618,CD8_c4_Tstr
1.286,-2.062,CD8_c0_t-Teff
0.838,-2.618,CD8_c4_Tstr
1.15,-2.571,CD8_c4_Tstr
0.864,-2.592,CD8_c4_Tstr
1.378,-2.337,CD8_c4_Tstr
0.953,-2.562,CD8_c4_Tstr
6.237,1.556,CD8_c3_Tn
1.113,-2.455,CD8_c4_Tstr
1.162,-2.229,CD8_c0_t-Teff
1.13,-2.164,CD8_c0_t-Teff
1.001,-2.395,CD8_c4_Tstr
0.971,-2.457,CD8_c0_t-Teff
1.225,-2.554,CD8_c4_Tstr
0.873,-2.699,CD8_c4_Tstr
1.008,-2.581,CD8_c4_Tstr
1.036,-2.797,CD8_c4_Tstr
1.067,-2.606,CD8_c4_Tstr
1.04,-2.488,CD8_c4_Tstr
0.987,-2.36,CD8_c4_Tstr
1.014,-2.342,CD8_c4_Tstr
1.321,-2.72,CD8_c4_Tstr
6.141,1.134,CD8_c3_Tn
0.872,-2.715,CD8_c4_Tstr
1.059,-2.463,CD8_c4_Tstr
1.573,-2.382,CD8_c4_Tstr
2.171,1.042,CD8_c0_t-Teff
1.522,-2.483,CD8_c4_Tstr
1.048,-2.291,CD8_c4_Tstr
0.617,3.142,CD8_c6_Tcm
0.548,-2.325,CD8_c4_Tstr
7.102,2.228,CD8_c3_Tn
1.568,-2.326,CD8_c4_Tstr
5.93,1.436,CD8_c3_Tn
-0.456,-1.039,CD8_c4_Tstr
-0.918,-0.417,CD8_c4_Tstr
0.334,-1.832,CD8_c4_Tstr
0.203,-1.48,CD8_c4_Tstr
0.542,-1.256,CD8_c4_Tstr
0.689,-1.644,CD8_c4_Tstr
0.568,-1.693,CD8_c4_Tstr
0.536,-1.655,CD8_c4_Tstr
0.468,-1.608,CD8_c4_Tstr
0.455,-1.598,CD8_c4_Tstr
0.322,-1.563,CD8_c4_Tstr
0.667,-1.824,CD8_c4_Tstr
