hex_x,hex_y,n_cells,state,state_purity,BCL6,CD69,CXCR6,ENTPD1,GZMB,HAVCR2,ID2,ID3,IL7R,ITGAE,KLF2,LEF1,PDCD1,PRF1,RGS1,RUNX3,S1PR1,SELL,SELPLG,SLAMF6,TCF7,TOX,XCL1,ZEB2
-1.147,-1.987,59,CD8_c9_Tsen,0.966,0.114,1.296,0.227,0.186,0.424,0.059,1.377,0.115,1.716,0.254,0.171,0.045,0.346,0.471,1.391,0.586,0.122,0.069,0.256,0.269,0.301,0.224,0.247,0.165
0.43,-2.236,86,CD8_c4_Tstr,0.977,0.013,1.247,0.255,0.184,0.828,0.21,1.237,0.487,0.575,0.347,0.613,0.033,0.491,0.691,1.513,0.679,0.06,0.135,0.254,0.082,0.207,0.299,0.145,0.271
0.43,2.733,134,CD8_c0_t-Teff,0.978,0.083,0.976,0.344,0.044,0.303,0.009,0.519,0.056,1.656,0.282,0.28,0.08,0.25,0.657,1.392,0.689,0.319,0.278,0.492,0.146,0.414,0.257,0.136,0.625
0.717,-2.236,203,CD8_c4_Tstr,0.936,0.1,1.554,0.214,0.086,0.592,0.076,1.425,0.207,1.006,0.416,0.931,0.078,0.269,0.401,1.52,0.663,0.074,0.278,0.255,0.191,0.316,0.259,0.365,0.301
7.458,1.49,143,CD8_c3_Tn,1.0,0.043,1.152,0.004,0.037,0.017,0.022,0.514,0.185,2.033,0.113,1.367,0.991,0.0,0.111,0.199,0.263,0.287,1.361,0.419,0.127,1.058,0.01,0.013,0.0
4.159,1.242,80,CD8_c0_t-Teff,0.862,0.093,1.224,0.084,0.035,0.065,0.097,0.867,0.107,1.969,0.066,1.102,0.305,0.193,0.225,0.996,1.056,0.217,0.643,0.289,0.023,0.641,0.014,0.054,0.125
1.004,-2.236,158,CD8_c4_Tstr,0.956,0.138,1.834,0.36,0.03,0.632,0.1,1.526,0.237,1.27,0.213,0.829,0.034,0.196,0.598,1.272,0.85,0.094,0.076,0.28,0.174,0.367,0.18,0.486,0.318
6.597,1.987,4,CD8_c3_Tn,1.0,0.404,1.076,0.349,0.0,0.0,0.0,0.276,0.276,2.749,0.349,0.0,0.276,0.395,0.883,0.637,0.349,0.893,0.404,0.395,0.0,0.276,0.0,0.0,0.0
4.59,0.994,41,CD8_c0_t-Teff,0.659,0.051,1.836,0.077,0.0,0.0,0.0,0.903,0.177,2.417,0.168,1.165,0.16,0.066,0.161,0.662,0.66,0.196,0.624,0.384,0.058,0.645,0.053,0.153,0.036
4.303,0.994,66,CD8_c0_t-Teff,0.818,0.089,1.715,0.034,0.003,0.065,0.031,1.217,0.123,2.305,0.145,1.48,0.489,0.088,0.196,0.822,0.674,0.341,0.596,0.249,0.147,0.547,0.016,0.124,0.079
