hex_x,hex_y,n_cells,state,state_purity,BCL6,CD69,CXCR6,ENTPD1,GZMB,HAVCR2,ID2,ID3,IL7R,ITGAE,KLF2,LEF1,PDCD1,PRF1,RGS1,RUNX3,S1PR1,SELL,SELPLG,SLAMF6,TCF7,TOX,XCL1,ZEB2
-0.136,0.707,1,CD8.EM,1.0,0.778,0.0,0.0,0.0,0.0,0.0,1.211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.512,0.0,1.211,0.778,0.0,0.778
6.262,4.244,18,CD8.NaiveLike,0.722,0.067,0.448,0.123,0.0,0.18,0.0,0.611,0.381,2.564,0.304,0.865,0.357,0.071,0.203,0.626,0.344,0.539,1.011,0.311,0.042,0.754,0.108,0.529,0.198
-6.399,-0.236,20,CD8.TPEX,1.0,0.063,0.69,0.428,0.44,0.414,0.054,0.718,0.425,0.977,0.833,0.041,0.095,0.327,0.491,0.595,0.619,0.0,0.041,0.288,0.205,0.958,0.36,3.048,0.517
1.498,2.594,10,CD8.CM,1.0,0.162,0.933,0.829,0.0,0.703,0.147,1.359,0.128,1.085,0.707,0.987,0.0,0.29,0.503,1.22,0.543,0.092,0.232,0.397,0.226,0.233,0.205,0.811,1.05
2.178,2.358,16,CD8.CM,1.0,0.0,0.609,0.0,0.0,0.151,0.0,0.571,0.072,1.661,0.374,1.362,0.185,0.187,0.501,0.684,0.465,0.18,0.0,0.85,0.0,0.999,0.0,0.309,0.442
2.178,1.415,6,CD8.CM,1.0,0.0,0.679,0.171,0.0,0.0,0.0,0.0,0.349,1.336,0.171,0.195,0.0,0.0,0.254,0.481,0.854,0.0,0.235,0.235,0.0,1.115,0.373,0.0,0.795
-5.173,-3.301,22,CD8.TEX,0.955,0.0,0.325,1.062,0.417,1.821,0.538,0.682,0.114,0.288,0.502,0.06,0.0,0.693,1.907,0.924,0.85,0.0,0.0,0.96,0.261,0.0,0.505,0.0,0.112
-1.225,-1.179,20,CD8.EM,1.0,0.062,1.26,0.512,0.1,0.691,0.15,0.394,0.0,0.653,0.612,0.404,0.0,0.519,1.175,1.264,0.704,0.165,0.073,0.771,0.129,0.283,0.258,0.349,0.614
2.723,1.886,3,CD8.CM,1.0,0.0,1.326,0.273,0.0,0.0,0.0,0.273,0.44,1.814,0.44,0.955,0.0,0.0,0.0,0.0,0.623,0.422,0.0,1.445,0.0,1.443,0.0,0.273,0.0
-3.404,-4.009,5,CD8.TEX,1.0,0.0,1.27,0.728,0.453,2.315,0.266,1.078,0.0,0.748,1.273,0.314,0.0,0.0,1.466,0.9,0.933,0.213,0.0,1.304,0.0,0.266,0.213,0.0,0.488
-6.535,-0.943,12,CD8.TPEX,1.0,0.1,0.634,0.42,0.288,0.368,0.0,1.357,0.246,1.632,1.47,0.1,0.0,0.335,0.34,0.806,0.464,0.0,0.598,0.147,0.177,0.844,0.763,1.746,0.297
-1.906,-1.886,20,CD8.EM,1.0,0.064,1.378,0.884,0.13,1.322,0.597,0.495,0.122,0.465,0.442,0.508,0.0,0.749,0.667,1.977,0.803,0.0,0.224,1.146,0.236,0.238,0.367,0.0,0.537
-5.854,-0.707,6,CD8.TPEX,1.0,0.0,0.0,0.423,0.247,0.0,0.0,0.877,0.0,1.591,0.89,0.433,0.0,0.247,0.501,0.549,0.549,0.0,0.175,0.347,0.0,1.167,0.0,0.897,0.59
-6.943,-4.48,9,CD8.TEX,1.0,0.172,1.589,0.933,0.723,2.115,0.581,1.925,0.149,1.076,1.169,0.095,0.0,0.882,1.302,2.195,0.424,0.0,0.0,0.679,0.175,0.0,0.175,0.327,1.002
1.906,1.886,14,CD8.CM,1.0,0.086,0.797,0.142,0.0,0.407,0.0,0.41,0.105,1.51,1.179,0.814,0.105,0.339,0.279,0.331,0.523,0.075,0.0,0.732,0.204,0.618,0.302,0.587,0.788
-6.943,-4.009,23,CD8.TEX,1.0,0.0,1.175,1.553,0.877,2.388,0.649,1.359,0.289,0.912,1.503,0.0,0.091,1.076,1.239,1.627,1.157,0.0,0.129,0.509,0.251,0.237,0.155,0.873,0.531
1.361,1.415,9,CD8.CM,1.0,0.255,0.459,0.0,0.0,0.332,0.0,0.378,0.322,0.772,0.842,0.842,0.0,0.513,0.152,0.171,0.391,0.0,0.167,0.416,0.167,0.905,0.161,0.119,0.379
1.77,3.537,33,CD8.CM,1.0,0.045,1.799,0.289,0.0,1.092,0.044,0.66,0.151,2.745,0.664,0.738,0.238,0.349,0.751,0.951,0.876,0.163,0.043,0.635,0.124,0.281,0.081,0.413,0.217
0.0,-0.943,20,CD8.EM,1.0,0.0,1.651,0.233,0.0,0.241,0.0,0.408,0.205,1.288,0.577,0.771,0.0,0.196,0.859,0.794,0.879,0.172,0.203,0.71,0.324,0.21,0.276,0.34,0.584
0.136,-0.236,20,CD8.EM,0.75,0.0,1.34,0.35,0.051,0.167,0.0,0.508,0.068,1.393,0.449,0.694,0.126,0.324,0.229,1.416,0.683,0.286,0.373,1.114,0.275,0.365,0.246,0.232,0.6
