hex_x,hex_y,n_cells,state,state_purity,BCL6,CD69,CXCR6,ENTPD1,GZMB,HAVCR2,ID2,ID3,IL7R,ITGAE,KLF2,LEF1,PDCD1,PRF1,RGS1,RUNX3,S1PR1,SELL,SELPLG,SLAMF6,TCF7,TOX,XCL1,ZEB2
5.714,8.931,689,XBP1+ Tex,0.65,0.025,1.013,0.473,0.121,1.565,0.219,1.208,0.023,0.602,0.318,0.695,0.057,0.121,1.467,0.207,0.446,0.231,0.162,0.959,0.189,0.048,0.094,0.318,0.138
5.853,7.724,474,ITGAE+ Trm,0.333,0.058,1.876,0.933,0.266,1.433,0.249,1.105,0.068,1.3,1.035,0.318,0.084,0.387,1.257,1.472,0.806,0.142,0.198,0.846,0.254,0.042,0.337,0.3,0.6
4.599,9.414,561,ZNF683+ Teff,0.973,0.013,1.505,0.442,0.122,1.943,0.267,1.574,0.016,0.621,0.241,0.843,0.081,0.056,1.734,0.101,0.357,0.376,0.4,1.112,0.13,0.049,0.098,0.402,0.071
6.55,9.897,705,XBP1+ Tex,0.643,0.058,1.003,0.714,0.236,1.98,0.352,1.529,0.004,0.345,0.256,0.502,0.062,0.124,1.874,0.176,0.622,0.193,0.12,1.066,0.26,0.033,0.254,0.693,0.176
4.32,9.897,649,ZNF683+ Teff,1.0,0.012,1.66,0.486,0.081,1.798,0.385,1.619,0.007,0.519,0.17,0.38,0.049,0.036,1.725,0.071,0.36,0.38,0.544,1.354,0.104,0.048,0.047,0.81,0.033
6.689,9.655,833,XBP1+ Tex,0.825,0.052,0.966,0.773,0.263,1.959,0.362,1.411,0.022,0.516,0.312,0.429,0.047,0.156,1.863,0.197,0.549,0.141,0.08,1.117,0.228,0.051,0.31,0.484,0.173
4.878,9.414,620,ZNF683+ Teff,0.966,0.023,1.352,0.409,0.12,1.925,0.301,1.451,0.009,0.52,0.224,0.758,0.077,0.065,1.6,0.122,0.346,0.321,0.275,1.077,0.108,0.054,0.08,0.43,0.072
4.32,4.586,543,ITGAE+ Trm,0.543,0.08,1.368,0.154,0.037,0.544,0.042,0.854,0.122,2.049,0.281,0.967,0.22,0.126,0.672,0.596,0.68,0.445,0.359,0.56,0.153,0.396,0.104,0.371,0.374
6.132,9.655,607,XBP1+ Tex,0.517,0.041,1.278,0.657,0.147,1.911,0.331,1.486,0.012,0.359,0.376,0.542,0.076,0.085,1.67,0.232,0.471,0.208,0.1,1.0,0.215,0.039,0.211,0.609,0.096
5.017,10.138,790,ZNF683+ Teff,0.997,0.005,1.426,0.612,0.097,1.7,0.445,1.486,0.005,0.397,0.195,0.221,0.099,0.032,1.591,0.05,0.323,0.26,0.462,1.227,0.147,0.021,0.065,0.86,0.059
7.804,10.621,57,XBP1+ Tex,0.649,0.037,0.956,0.436,0.042,2.018,0.394,1.514,0.024,0.184,0.378,0.176,0.069,0.197,2.282,0.248,0.819,0.238,0.242,1.001,0.338,0.011,0.497,0.793,0.247
6.55,10.379,478,ZNF683+ Teff,0.682,0.045,1.2,0.778,0.149,1.896,0.507,1.524,0.003,0.203,0.248,0.394,0.065,0.095,1.978,0.116,0.555,0.154,0.145,1.134,0.272,0.027,0.27,0.938,0.165
7.386,10.862,36,XBP1+ Tex,0.833,0.055,0.868,0.226,0.039,2.419,0.416,1.863,0.0,0.111,0.303,1.181,0.064,0.109,2.587,0.205,1.057,0.505,0.289,1.332,0.408,0.0,0.684,0.718,0.67
6.271,9.414,786,XBP1+ Tex,0.721,0.023,1.233,0.594,0.185,2.124,0.305,1.521,0.019,0.374,0.321,0.795,0.062,0.12,1.786,0.196,0.544,0.188,0.076,0.989,0.192,0.05,0.167,0.426,0.164
3.623,10.621,681,ZNF683+ Teff,1.0,0.002,1.197,0.303,0.041,1.534,0.455,1.427,0.002,0.672,0.213,0.154,0.109,0.001,1.679,0.009,0.253,0.442,0.987,1.655,0.095,0.046,0.026,0.595,0.024
7.386,8.448,526,ITGAE+ Tex,0.753,0.023,1.245,1.148,0.763,2.315,0.649,1.291,0.144,0.361,1.125,0.141,0.047,0.557,1.461,1.513,0.78,0.033,0.097,0.841,0.194,0.025,0.392,0.207,0.536
3.763,8.931,31,ZNF683+ Teff,0.903,0.03,0.513,0.131,0.054,1.418,0.105,1.267,0.03,1.58,0.387,1.961,0.451,0.0,1.376,0.04,0.361,0.821,0.736,1.286,0.309,0.321,0.287,0.232,0.06
6.55,9.414,797,XBP1+ Tex,0.821,0.039,0.991,0.673,0.242,2.058,0.29,1.42,0.013,0.476,0.37,0.627,0.042,0.16,1.824,0.272,0.539,0.207,0.078,1.041,0.221,0.04,0.294,0.344,0.166
1.672,8.207,710,GNLY+ Temra,0.938,0.044,1.361,0.013,0.007,2.035,0.039,1.229,0.005,0.441,0.21,1.653,0.085,0.082,1.69,0.227,0.646,0.35,0.282,0.912,0.28,0.103,0.212,0.079,1.148
7.804,9.655,410,XBP1+ Tex,0.922,0.046,0.85,0.562,0.444,2.539,0.316,1.403,0.03,0.193,0.412,0.381,0.041,0.209,2.053,0.521,0.571,0.088,0.05,0.923,0.215,0.025,0.43,0.26,0.22
5.017,9.655,697,ZNF683+ Teff,0.98,0.007,1.316,0.464,0.08,1.803,0.33,1.404,0.006,0.508,0.216,0.448,0.108,0.038,1.543,0.09,0.361,0.247,0.377,1.124,0.131,0.067,0.088,0.651,0.058
7.247,9.655,831,XBP1+ Tex,0.942,0.05,0.657,0.798,0.391,1.92,0.259,1.096,0.016,0.441,0.468,0.279,0.021,0.357,1.856,0.457,0.511,0.065,0.031,1.023,0.284,0.042,0.451,0.311,0.265
6.55,8.448,475,ITGAE+ Tex,0.383,0.019,1.131,1.087,0.555,1.717,0.354,1.112,0.046,0.951,0.926,0.29,0.084,0.434,1.25,0.921,0.668,0.077,0.166,0.916,0.24,0.022,0.367,0.207,0.472
3.902,8.69,107,ZNF683+ Teff,0.944,0.038,0.315,0.172,0.051,1.507,0.252,1.318,0.0,1.687,0.208,1.702,0.411,0.062,1.388,0.083,0.504,0.846,0.432,1.492,0.214,0.248,0.27,0.13,0.081
4.32,7.0,357,GNLY+ Temra,0.499,0.046,1.785,0.178,0.061,0.614,0.07,0.8,0.154,1.513,0.357,0.674,0.229,0.079,0.768,0.712,0.612,0.326,0.37,0.747,0.097,0.324,0.193,0.376,0.444
7.944,6.517,710,ITGAE+ Tex,0.455,0.098,1.182,0.529,0.368,1.513,0.324,0.852,0.165,0.828,0.75,0.401,0.098,0.545,1.223,1.439,0.728,0.09,0.358,0.778,0.201,0.287,0.351,0.354,0.554
5.853,9.172,706,XBP1+ Tex,0.66,0.021,1.335,0.546,0.142,1.923,0.263,1.384,0.025,0.523,0.298,0.764,0.062,0.11,1.575,0.243,0.485,0.244,0.153,0.984,0.175,0.066,0.135,0.317,0.138
