UMAP_1,UMAP_2,state
1.848,1.407,CD8.CM
2.772,2.524,CD8.CM
1.642,3.035,CD8.CM
-1.161,-0.726,CD8.EM
-4.324,-3.922,CD8.TEX
-3.68,-3.623,CD8.TEX
6.197,4.598,CD8.NaiveLike
-1.248,-0.697,CD8.EM
-5.313,-3.438,CD8.TEX
5.102,3.656,CD8.NaiveLike
1.84,2.719,CD8.CM
-5.042,-1.053,CD8.TPEX
-0.682,-0.399,CD8.EM
-5.915,-0.152,CD8.TPEX
-6.978,-3.244,CD8.TEX
-1.252,-2.687,CD8.EM
-6.375,-0.769,CD8.TPEX
-7.259,-3.496,CD8.TEX
-5.29,-3.356,CD8.TEX
1.789,1.776,CD8.CM
0.932,3.551,CD8.CM
-6.596,-0.279,CD8.TPEX
-6.325,-3.807,CD8.TEX
7.116,3.479,CD8.NaiveLike
-6.638,-3.474,CD8.TEX
-6.706,-3.232,CD8.TEX
-5.035,-3.49,CD8.TEX
-6.839,-2.845,CD8.TEX
-7.052,-2.078,CD8.TEX
2.136,2.238,CD8.CM
1.865,2.252,CD8.CM
-7.087,-3.765,CD8.TEX
1.192,4.006,CD8.CM
-6.313,-3.972,CD8.TEX
-4.894,-1.096,CD8.TPEX
-5.942,-0.591,CD8.TPEX
-6.678,-3.149,CD8.TEX
-5.976,-0.885,CD8.TPEX
-5.972,-0.398,CD8.TPEX
-5.815,-0.388,CD8.TPEX
2.256,2.447,CD8.CM
-6.523,-0.483,CD8.TPEX
-6.001,-0.111,CD8.TPEX
4.094,3.495,CD8.CM
-6.525,-0.154,CD8.TPEX
-1.169,-1.271,CD8.EM
1.632,3.991,CD8.CM
-0.966,-0.718,CD8.TPEX
-6.3,-0.841,CD8.TPEX
-6.712,-3.443,CD8.TEX
1.514,2.165,CD8.CM
-6.075,-0.429,CD8.TPEX
-7.123,-3.394,CD8.TEX
5.45,3.519,CD8.NaiveLike
1.393,3.353,CD8.CM
5.611,4.023,CD8.NaiveLike
5.4,4.153,CD8.NaiveLike
1.545,2.49,CD8.CM
3.921,3.016,CD8.NaiveLike
-4.737,-2.471,CD8.TPEX
1.698,2.844,CD8.CM
1.564,2.859,CD8.CM
-5.357,-3.683,CD8.TEX
0.759,3.425,CD8.CM
2.196,1.575,CD8.CM
-1.16,-1.264,CD8.EM
1.953,2.079,CD8.CM
-6.531,-4.126,CD8.TEX
-6.333,-3.788,CD8.TEX
-1.492,-2.512,CD8.EM
