UMAP_1,UMAP_2,state
5.918,3.312,ITGAE+ Trm
6.534,-1.913,MAIT
4.96,0.582,GZMK+ Tem
1.682,-1.522,Tn
6.149,-2.352,MAIT
4.488,2.131,ITGAE+ Trm
4.839,1.047,GZMK+ Tem
4.438,2.167,ITGAE+ Trm
1.445,0.106,Tn
-1.334,1.314,Tn
6.069,-2.454,MAIT
-1.881,-1.118,Tn
1.549,-0.669,Tn
-0.772,7.878,GNLY+ Temra
5.363,0.085,MAIT
4.741,-2.313,MAIT
-2.271,0.986,Tn
7.142,2.664,GZMK+ Tem
-1.653,1.122,Tn
3.81,6.111,CMC1+ Temra
6.962,1.914,GZMK+ Tem
5.764,1.417,GZMK+ Tem
0.973,-0.379,Tn
1.253,0.43,Tn
1.826,5.812,CMC1+ Temra
-2.106,-0.132,Tn
-2.468,-0.135,Tn
3.549,2.281,Tcm
0.343,-0.429,Tn
6.641,1.175,GZMK+ Tem
3.182,1.406,Tn
6.972,3.166,GZMK+ Tem
5.507,-2.014,MAIT
0.422,-1.25,Tn
0.816,0.372,Tn
5.971,0.71,GZMK+ Tem
7.868,3.833,ITGB2+ Trm
6.29,2.54,GZMK+ Tem
5.994,1.314,GZMK+ Tem
1.244,0.49,Tn
0.802,-1.657,Tn
2.945,0.916,Tn
6.015,-2.666,MAIT
1.951,4.467,CMC1+ Temra
-0.16,8.293,GNLY+ Temra
7.883,2.937,GZMK+ Tem
-0.008,9.053,GNLY+ Temra
5.256,-0.579,MAIT
5.972,1.948,Tcm
6.248,1.571,ITGB2+ Trm
-0.658,7.836,GNLY+ Temra
6.062,3.012,ITGB2+ Trm
-0.015,6.983,GNLY+ Temra
5.672,1.678,GZMK+ Tem
7.195,1.15,GZMK+ Tem
3.896,0.932,Tcm
-0.065,8.834,GNLY+ Temra
0.34,8.268,GNLY+ Temra
7.184,1.804,GZMK+ Tem
1.217,4.184,CMC1+ Temra
-0.799,7.748,GNLY+ Temra
-0.192,5.918,GNLY+ Temra
5.726,3.07,ITGB2+ Trm
2.858,3.642,CMC1+ Temra
-0.734,7.65,GNLY+ Temra
-0.393,7.476,GNLY+ Temra
10.176,3.789,SELL+ Tpex
5.818,0.598,GZMK+ Tem
6.582,1.772,GZMK+ Tem
6.809,2.651,GZMK+ Tem
6.844,1.426,GZMK+ Tem
5.693,0.615,GZMK+ Tem
5.321,1.544,Tcm
6.269,0.902,GZMK+ Tem
2.991,4.025,Early Tcm/Tem
4.959,-0.268,Tcm
5.457,2.612,GZMK+ Tem
8.22,4.063,GZMK+ Tem
5.777,1.488,Tcm
-1.217,0.465,Tn
4.826,0.85,Tcm
6.593,1.06,GZMK+ Tem
5.226,-1.269,MAIT
5.336,2.566,XBP1+ Tex
2.88,4.425,GZMK+ Tem
6.396,2.221,GZMK+ Tem
6.217,0.898,GZMK+ Tem
4.888,0.106,Tcm
5.094,0.891,GZMK+ Tem
1.289,6.369,GNLY+ Temra
3.14,7.016,XBP1+ Tex
-1.1,-1.922,Tn
2.274,7.647,GNLY+ Temra
6.226,2.731,GZMK+ Tem
3.155,5.562,GZMK+ Tem
6.089,0.732,GZMK+ Tem
4.422,0.365,Tcm
5.622,1.33,GZMK+ Tem
3.062,7.698,GNLY+ Temra
5.522,2.977,GZMK+ Tem
5.266,3.137,GZMK+ Tem
7.886,1.253,GZMK+ Tem
5.711,1.379,GZMK+ Tem
3.653,7.182,GNLY+ Temra
0.571,-1.122,Tn
7.141,2.76,GZMK+ Tem
10.736,4.436,SELL+ Tpex
-2.405,0.791,Tn
5.569,3.176,ITGAE+ Trm
3.738,2.34,ITGAE+ Trm
6.509,-1.283,MAIT
3.836,2.248,Tcm
-1.217,0.76,Tn
1.102,7.898,GNLY+ Temra
6.582,-1.628,MAIT
0.668,-0.615,Tn
-1.068,-1.161,Tn
-0.956,-1.135,Tn
6.706,-0.518,MAIT
4.881,2.427,ITGAE+ Trm
5.953,1.531,GZMK+ Tem
6.717,-1.04,MAIT
-0.742,1.493,Tn
6.841,4.634,CREM+ Trm
-1.418,0.918,Tn
3.954,7.052,GNLY+ Temra
-1.034,0.44,Tn
3.731,6.86,GNLY+ Temra
1.479,5.984,CMC1+ Temra
10.26,3.722,SELL+ Tpex
-1.742,1.238,Tn
6.636,-1.469,MAIT
-1.556,-1.756,Tn
6.156,3.232,GZMK+ Tem
5.061,4.927,CMC1+ Temra
4.048,5.616,CMC1+ Temra
4.339,2.906,Tcm
0.812,-0.905,Tn
5.233,-0.586,MAIT
0.835,-1.211,Tn
0.078,-1.026,Tn
4.654,3.684,Tcm
6.042,-1.207,MAIT
1.786,0.252,Tcm
5.711,-0.713,MAIT
3.586,0.726,Tcm
1.856,6.659,CMC1+ Temra
5.521,5.351,CREM+ Trm
3.554,2.048,ITGAE+ Trm
-1.109,-1.082,Tn
6.735,-1.043,MAIT
0.307,-0.122,Tn
4.96,2.031,ITGAE+ Trm
7.252,5.422,CREM+ Trm
9.544,3.61,SELL+ Tpex
6.532,2.25,GZMK+ Tem
4.015,2.876,ITGAE+ Trm
0.519,3.815,ILTCK
0.417,0.238,Tn
-2.087,0.675,Tn
3.708,1.281,Tcm
5.182,5.424,CREM+ Trm
0.788,-1.421,Tn
7.078,3.301,GZMK+ Tem
10.848,4.105,SELL+ Tpex
-0.802,-0.871,Tn
-0.009,6.952,GNLY+ Temra
4.965,5.547,Early Tcm/Tem
4.311,0.35,Tcm
4.303,3.288,Early Tcm/Tem
1.495,6.775,CMC1+ Temra
4.523,6.382,ZNF683+ Teff
4.179,0.386,Tcm
5.005,0.637,Tcm
4.727,-2.246,MAIT
5.193,-2.461,MAIT
5.019,0.588,GZMK+ Tem
5.062,0.767,Tcm
3.901,-0.243,Tcm
4.594,0.199,Tcm
4.817,-0.071,Tcm
3.701,-0.132,Tcm
5.565,-0.375,MAIT
4.645,0.221,Tcm
4.551,0.224,Tcm
5.509,0.263,Tcm
4.807,0.018,Tcm
4.148,-0.34,Tcm
4.629,-2.144,MAIT
4.913,0.448,Tcm
4.098,0.188,Tcm
3.966,-0.301,Tcm
4.528,0.27,Tcm
2.506,0.946,Tn
3.777,0.154,Tcm
3.921,1.098,Tcm
4.334,0.464,Tcm
-0.523,-0.865,Tn
5.064,1.013,Tcm
5.989,0.509,GZMK+ Tem
4.158,0.334,Tcm
3.871,1.09,Tcm
7.344,3.118,GZMK+ Tem
5.433,0.885,Tcm
5.39,1.902,Tcm
4.878,-0.093,Tcm
4.756,0.097,Tcm
5.552,2.57,Tcm
4.657,0.162,Tcm
6.061,0.96,GZMK+ Tem
4.881,0.801,Tcm
4.225,0.765,Tcm
4.747,1.062,Tcm
4.915,2.002,Tcm
5.184,0.556,Tcm
4.954,0.825,Tcm
4.652,0.006,Tcm
4.769,-1.578,MAIT
10.245,4.07,SELL+ Tpex
0.219,-1.878,Tn
1.05,-0.775,Tn
6.641,2.551,GZMK+ Tem
4.601,3.779,GZMK+ Tem
5.794,2.73,Tcm
3.841,0.485,Tcm
4.834,1.532,Tcm
4.608,0.98,Tcm
3.629,-0.055,Tcm
3.412,4.535,Early Tcm/Tem
5.017,-0.898,MAIT
3.149,4.396,Early Tcm/Tem
2.735,0.022,Tcm
3.205,6.089,Early Tcm/Tem
3.135,4.56,Early Tcm/Tem
4.889,0.361,Tcm
4.772,-0.203,Tcm
4.796,-0.902,MAIT
4.192,1.063,Tcm
2.702,4.605,Early Tcm/Tem
3.701,5.19,GZMK+ Tem
4.021,4.585,Early Tcm/Tem
2.828,4.579,Early Tcm/Tem
5.471,0.805,Tcm
4.024,-0.37,Tcm
2.923,3.552,Early Tcm/Tem
5.393,-1.352,MAIT
5.494,0.535,Tcm
-0.545,6.951,GNLY+ Temra
3.487,4.41,Early Tcm/Tem
4.556,0.438,Tcm
7.373,1.764,GZMK+ Tem
6.578,1.232,GZMK+ Tem
-1.212,-0.955,Tn
5.169,8.826,ZNF683+ Teff
4.26,2.592,Tcm
7.24,2.261,GZMK+ Tem
4.789,0.261,Tcm
1.784,4.903,CMC1+ Temra
4.201,1.504,Tcm
3.493,5.519,Early Tcm/Tem
3.793,1.325,Tcm
3.793,4.441,Early Tcm/Tem
1.264,6.884,GNLY+ Temra
4.588,5.666,XBP1+ Tex
4.153,3.146,Early Tcm/Tem
3.569,4.795,Early Tcm/Tem
4.217,1.029,Tcm
4.215,1.225,Tcm
4.259,0.613,Tcm
5.256,1.883,GZMK+ Tem
1.091,6.693,GNLY+ Temra
0.036,7.91,GNLY+ Temra
4.464,1.286,Tcm
5.719,8.408,Tcm
2.402,5.145,GNLY+ Temra
3.74,7.471,GNLY+ Temra
6.154,0.578,GZMK+ Tem
5.635,1.103,GZMK+ Tem
-0.449,7.04,GNLY+ Temra
7.083,1.043,GZMK+ Tem
5.187,1.553,Tcm
7.096,1.308,GZMK+ Tem
3.487,3.595,GZMK+ Tem
-1.796,4.213,ILTCK
0.064,0.45,Tn
5.781,0.994,GZMK+ Tem
5.511,1.493,GZMK+ Tem
-1.499,0.174,Tn
-0.663,-1.591,Tn
5.142,0.496,Tcm
5.084,-2.197,MAIT
-1.775,4.048,ILTCK
7.94,10.137,XBP1+ Tex
6.843,9.963,XBP1+ Tex
7.287,9.983,XBP1+ Tex
7.017,9.566,XBP1+ Tex
6.3,9.817,MACF1+ T
7.395,10.651,XBP1+ Tex
4.281,10.721,ZNF683+ Teff
8.127,9.867,XBP1+ Tex
7.851,9.742,XBP1+ Tex
6.946,10.035,XBP1+ Tex
7.032,10.182,XBP1+ Tex
7.068,9.945,XBP1+ Tex
6.59,10.076,XBP1+ Tex
7.354,10.299,XBP1+ Tex
6.62,10.36,XBP1+ Tex
9.165,9.591,Cycling T
6.72,10.169,XBP1+ Tex
7.354,10.292,XBP1+ Tex
7.361,9.768,XBP1+ Tex
6.818,10.198,XBP1+ Tex
6.788,9.981,XBP1+ Tex
9.555,9.98,Cycling T
7.062,10.356,XBP1+ Tex
6.952,9.781,XBP1+ Tex
6.565,9.297,XBP1+ Tex
9.73,10.775,Cycling T
6.989,10.547,XBP1+ Tex
6.785,10.304,XBP1+ Tex
7.146,10.067,XBP1+ Tex
7.529,10.557,XBP1+ Tex
6.059,9.88,XBP1+ Tex
6.976,10.516,XBP1+ Tex
10.889,10.952,Cycling T
6.848,9.385,XBP1+ Tex
7.011,10.33,XBP1+ Tex
7.564,10.499,XBP1+ Tex
6.899,9.959,XBP1+ Tex
6.325,9.536,ZNF683+ Teff
10.389,10.125,Cycling T
7.557,9.892,XBP1+ Tex
6.354,9.712,XBP1+ Tex
8.924,9.513,Cycling T
6.121,10.569,XBP1+ Tex
7.331,10.183,XBP1+ Tex
1.877,8.418,XBP1+ Tex
7.092,10.711,XBP1+ Tex
5.603,9.402,XBP1+ Tex
7.345,10.635,XBP1+ Tex
5.261,9.175,ZNF683+ Teff
6.553,10.236,XBP1+ Tex
7.72,10.147,XBP1+ Tex
6.704,9.631,XBP1+ Tex
8.246,9.919,XBP1+ Tex
10.828,10.5,Cycling T
7.054,10.452,XBP1+ Tex
3.857,10.71,GNLY+ Temra
6.99,10.224,XBP1+ Tex
7.17,10.705,XBP1+ Tex
7.849,10.422,XBP1+ Tex
7.159,10.629,XBP1+ Tex
7.438,10.308,XBP1+ Tex
7.555,10.119,XBP1+ Tex
7.461,10.397,XBP1+ Tex
9.528,10.011,Cycling T
10.372,10.118,Cycling T
7.421,10.283,XBP1+ Tex
10.195,9.749,Cycling T
6.108,9.728,MACF1+ T
7.09,10.379,XBP1+ Tex
7.459,10.113,XBP1+ Tex
7.855,10.216,XBP1+ Tex
5.84,8.719,XBP1+ Tex
7.276,10.795,XBP1+ Tex
6.473,9.412,XBP1+ Tex
6.809,9.972,XBP1+ Tex
7.554,10.28,XBP1+ Tex
6.56,9.753,XBP1+ Tex
7.196,10.672,XBP1+ Tex
6.748,10.38,XBP1+ Tex
7.83,10.095,XBP1+ Tex
6.915,10.372,XBP1+ Tex
7.168,10.272,XBP1+ Tex
11.541,11.355,Cycling T
7.126,10.227,XBP1+ Tex
7.215,10.646,XBP1+ Tex
7.526,10.0,XBP1+ Tex
6.859,10.013,XBP1+ Tex
6.713,10.554,XBP1+ Tex
7.787,10.271,XBP1+ Tex
7.454,10.549,XBP1+ Tex
6.477,10.034,MACF1+ T
7.256,10.325,XBP1+ Tex
7.374,10.304,XBP1+ Tex
7.891,10.209,XBP1+ Tex
7.334,10.568,XBP1+ Tex
7.034,10.48,XBP1+ Tex
6.864,10.162,MACF1+ T
7.406,9.518,XBP1+ Tex
7.093,10.014,XBP1+ Tex
7.151,10.413,XBP1+ Tex
7.277,9.395,XBP1+ Tex
6.588,10.096,XBP1+ Tex
6.563,10.455,XBP1+ Tex
6.947,10.475,XBP1+ Tex
7.686,10.064,XBP1+ Tex
6.996,10.476,XBP1+ Tex
7.18,10.495,XBP1+ Tex
6.925,10.322,XBP1+ Tex
